iter	Passed	Remaining
0	6	6281
1	13	6645
2	19	6559
3	27	6850
4	34	6949
5	39	6555
6	46	6617
7	51	6374
8	55	6104
9	63	6251
10	68	6118
11	72	5993
12	78	5951
13	83	5857
14	87	5747
15	94	5838
16	99	5756
17	104	5680
18	111	5746
19	116	5704
20	122	5718
21	130	5781
22	135	5756
23	143	5831
24	148	5793
25	155	5821
26	161	5836
27	166	5793
28	174	5830
29	180	5821
30	186	5816
31	192	5837
32	198	5810
33	205	5827
34	210	5794
35	215	5759
36	222	5801
37	228	5778
38	235	5794
39	241	5794
40	246	5767
41	254	5804
42	259	5778
43	265	5768
44	272	5775
45	277	5757
46	284	5766
47	290	5762
48	296	5758
49	303	5773
50	308	5747
51	316	5767
52	322	5764
53	327	5738
54	338	5810
55	346	5835
56	353	5850
57	358	5823
58	366	5841
59	372	5828
60	378	5819
61	383	5803
62	388	5777
63	395	5782
64	401	5775
65	406	5758
66	414	5766
67	419	5747
68	424	5721
69	432	5741
70	437	5719
71	444	5723
72	451	5728
73	455	5701
74	462	5703
75	468	5695
76	474	5690
77	481	5692
78	487	5678
79	495	5693
80	499	5670
81	506	5671
82	512	5666
83	518	5650
84	525	5652
85	531	5646
86	536	5630
87	544	5642
88	549	5622
89	557	5633
90	562	5623
91	568	5607
92	576	5622
93	582	5617
94	591	5630
95	596	5618
96	604	5623
97	610	5617
98	615	5599
99	622	5604
100	628	5596
101	636	5599
102	642	5596
103	647	5578
104	654	5581
105	660	5570
106	665	5556
107	673	5558
108	679	5550
109	687	5560
110	692	5546
111	698	5541
112	705	5541
113	711	5528
114	719	5535
115	724	5523
116	732	5525
117	738	5521
118	743	5507
119	751	5508
120	756	5497
121	763	5492
122	770	5491
123	776	5482
124	783	5485
125	789	5478
126	798	5490
127	806	5490
128	813	5490
129	820	5488
130	825	5476
131	832	5476
132	838	5466
133	848	5481
134	854	5472
135	860	5466
136	867	5465
137	872	5452
138	881	5460
139	887	5451
140	896	5462
141	902	5452
142	910	5456
143	916	5450
144	923	5443
145	930	5440
146	936	5434
147	945	5442
148	950	5429
149	957	5428
150	964	5422
151	971	5421
152	978	5417
153	987	5424
154	993	5418
155	998	5404
156	1009	5419
157	1015	5409
158	1023	5413
159	1029	5403
160	1038	5410
161	1044	5402
162	1049	5391
163	1057	5390
164	1062	5377
165	1069	5371
166	1075	5364
167	1080	5352
168	1089	5356
169	1095	5349
170	1104	5354
171	1110	5346
172	1117	5340
173	1124	5336
174	1129	5322
175	1137	5324
176	1143	5315
177	1150	5313
178	1156	5306
179	1162	5296
180	1170	5295
181	1175	5283
182	1183	5282
183	1189	5275
184	1198	5279
185	1203	5266
186	1208	5254
187	1216	5254
188	1222	5244
189	1228	5239
190	1235	5233
191	1240	5221
192	1248	5219
193	1253	5208
194	1260	5204
195	1267	5197
196	1272	5187
197	1279	5184
198	1286	5176
199	1293	5173
200	1300	5169
201	1307	5167
202	1314	5161
203	1320	5153
204	1329	5157
205	1335	5148
206	1342	5142
207	1348	5134
208	1354	5126
209	1361	5122
210	1366	5111
211	1373	5105
212	1380	5101
213	1386	5093
214	1395	5096
215	1404	5097
216	1412	5097
217	1417	5084
218	1427	5089
219	1432	5079
220	1441	5081
221	1447	5072
222	1456	5073
223	1462	5065
224	1468	5057
225	1475	5053
226	1480	5042
227	1488	5040
228	1495	5033
229	1503	5032
230	1510	5027
231	1517	5023
232	1524	5018
233	1529	5008
234	1537	5004
235	1542	4994
236	1550	4993
237	1557	4985
238	1562	4974
239	1570	4971
240	1575	4962
241	1582	4957
242	1589	4950
243	1595	4941
244	1601	4934
245	1606	4924
246	1613	4919
247	1620	4913
248	1625	4902
249	1633	4900
250	1639	4891
251	1646	4887
252	1654	4883
253	1658	4871
254	1667	4871
255	1672	4860
256	1681	4861
257	1687	4852
258	1694	4849
259	1701	4843
260	1709	4840
261	1716	4834
262	1721	4824
263	1730	4823
264	1735	4813
265	1743	4811
266	1749	4803
267	1756	4797
268	1763	4793
269	1769	4784
270	1779	4785
271	1784	4775
272	1791	4771
273	1798	4764
274	1808	4768
275	1814	4759
276	1819	4749
277	1827	4745
278	1834	4740
279	1843	4740
280	1849	4731
281	1857	4728
282	1862	4719
283	1869	4713
284	1876	4706
285	1880	4695
286	1888	4692
287	1894	4682
288	1900	4676
289	1907	4669
290	1912	4659
291	1920	4655
292	1925	4645
293	1930	4636
294	1937	4630
295	1943	4621
296	1950	4615
297	1955	4605
298	1960	4595
299	1966	4589
300	1972	4579
301	1977	4569
302	1984	4566
303	1990	4556
304	1995	4546
305	2004	4546
306	2009	4536
307	2017	4532
308	2022	4523
309	2033	4526
310	2038	4517
311	2046	4511
312	2052	4505
313	2057	4495
314	2066	4492
315	2072	4485
316	2078	4479
317	2084	4469
318	2089	4460
319	2096	4455
320	2101	4445
321	2106	4435
322	2113	4429
323	2118	4420
324	2126	4416
325	2131	4406
326	2136	4397
327	2143	4391
328	2148	4381
329	2153	4371
330	2161	4369
331	2166	4359
332	2171	4349
333	2178	4343
334	2183	4334
335	2190	4329
336	2196	4320
337	2201	4310
338	2207	4304
339	2212	4295
340	2218	4287
341	2227	4285
342	2232	4276
343	2241	4273
344	2246	4264
345	2251	4255
346	2258	4250
347	2263	4241
348	2270	4235
349	2275	4226
350	2280	4216
351	2288	4213
352	2293	4204
353	2298	4195
354	2305	4189
355	2310	4180
356	2315	4171
357	2323	4166
358	2328	4157
359	2335	4152
360	2340	4143
361	2346	4134
362	2353	4129
363	2358	4120
364	2363	4111
365	2370	4105
366	2375	4096
367	2380	4088
368	2386	4080
369	2391	4072
370	2397	4064
371	2403	4056
372	2409	4049
373	2414	4042
374	2420	4034
375	2426	4026
376	2433	4021
377	2438	4012
378	2443	4003
379	2450	3997
380	2455	3989
381	2461	3981
