,sales
0,7
1,14
2,60
3,2
4,15
5,24
6,21
7,18
8,7
9,2
10,2
11,3
12,4
13,26
14,2
15,10
16,3
17,12
18,5
19,156
20,12
21,23
22,5
23,13
24,16
25,21
26,8
27,14
28,2
29,31
30,21
31,3
32,3
33,5
34,9
35,12
36,19
37,3
38,5
39,11
40,6
41,23
42,3
43,36
44,28
45,58
46,1
47,15
48,4
49,4
50,67
51,3
52,37
53,6
54,15
55,9
56,72
57,14
58,14
59,3
60,13
61,24
62,7
63,8
64,4
65,88
66,3
67,41
68,19
69,9
70,17
71,4
72,3
73,38
74,32
75,3
76,23
77,10
78,9
79,53
80,3
81,10
82,3
83,20
84,14
85,17
86,19
87,29
88,17
89,33
90,44
91,24
92,6
93,54
94,6
95,7
96,15
97,38
98,15
99,3
100,11
101,4
102,9
103,12
104,6
105,10
106,9
107,158
108,17
109,48
110,17
111,5
112,3
113,4
114,157
115,11
116,3
117,5
118,2
119,18
120,9
121,16
122,48
123,26
124,60
125,5
126,19
127,40
128,16
129,8
130,5
131,14
132,6
133,79
134,17
135,5
136,18
137,24
138,5
139,133
140,7
141,10
142,18
143,15
144,6
145,19
146,7
147,93
148,1
149,5
150,64
151,46
152,6
153,14
154,1
155,5
156,3
157,10
158,14
159,1
160,5
161,8
162,65
163,7
164,6
165,3
166,7
167,207
168,2
169,7
170,7
171,17
172,9
173,21
174,30
175,48
176,20
177,6
178,32
179,20
180,8
181,19
182,4
183,66
184,6
185,5
186,3
187,21
188,77
189,11
190,4
191,2
192,11
193,22
194,6
195,5
196,3
197,7
198,103
199,4
200,5
201,37
202,15
203,27
204,6
205,13
206,16
207,6
208,19
209,1
210,4
211,37
212,32
213,5
214,8
215,35
216,3
217,24
218,15
219,4
220,5
221,18
222,7
223,14
224,11
225,80
226,59
227,6
228,15
229,10
230,2
231,6
232,14
233,23
234,3
235,4
236,33
237,40
238,1
239,1
240,56
241,13
242,75
243,40
244,18
245,34
246,14
247,22
248,22
249,9
250,16
251,118
252,12
253,7
254,49
255,20
256,5
257,15
258,3
259,3
260,2
261,35
262,4
263,23
264,12
265,23
266,22
267,21
268,23
269,8
270,5
271,40
272,6
273,36
274,5
275,5
276,116
277,23
278,1
279,2
280,9
281,15
282,4
283,81
284,1
285,30
286,7
287,1
288,39
289,63
290,1
291,3
292,45
293,67
294,34
295,15
296,3
297,5
298,6
299,26
300,42
301,113
302,62
303,39
304,3
305,13
306,3
307,16
308,9
309,3
310,4
311,15
312,25
313,2
314,9
315,46
316,7
317,22
318,47
319,4
320,53
321,5
322,21
323,91
324,87
325,11
326,14
327,48
328,37
329,27
330,26
331,5
332,3
333,1
334,11
335,15
336,7
337,24
338,14
339,7
340,39
341,6
342,39
343,8
344,4
345,4
346,46
347,6
348,38
349,4
350,8
351,6
352,5
353,7
354,4
355,4
356,2
357,53
358,16
359,27
360,6
361,36
362,5
363,2
364,30
365,9
366,10
367,21
368,14
369,2
370,11
371,5
372,6
373,50
374,11
375,8
376,8
377,2
378,1
379,60
380,55
381,25
382,1
383,3
384,125
385,17
386,95
387,33
388,32
389,19
390,12
391,4
392,26
393,3
394,2
395,21
396,2
397,11
398,13
399,8
400,1
401,83
402,7
403,3
404,33
405,2
406,13
407,5
408,4
409,35
410,34
411,2
412,7
413,3
414,37
415,39
416,14
417,9
418,5
419,14
420,3
421,4
422,32
423,3
424,29
425,1
426,8
427,16
428,9
429,5
430,30
431,18
432,69
433,33
434,8
435,8
436,1
437,85
438,47
439,8
440,6
441,2
442,9
443,7
444,5
445,21
446,3
447,12
448,1
449,11
450,10
451,44
452,4
453,2
454,51
455,2
456,1
457,36
458,3
459,2
460,3
461,4
462,17
463,22
464,293
465,56
466,5
467,12
468,25
469,26
470,7
471,9
472,27
473,7
474,62
475,14
476,27
477,13
478,8
479,17
480,16
481,13
482,12
483,2
484,28
485,23
486,10
487,5
488,2
489,7
490,22
491,9
492,19
493,1
494,7
495,97
496,17
497,1
498,7
499,8
500,1
501,5
502,9
503,3
504,2
505,4
506,39
507,21
508,12
509,30
510,21
511,2
512,8
513,5
514,84
515,7
516,7
517,5
518,4
519,6
520,22
521,16
522,40
523,16
524,11
525,4
526,44
527,17
528,32
529,15
530,5
531,12
532,11
533,3
534,4
535,3
536,22
537,5
538,3
539,1
540,3
541,3
542,33
543,52
544,165
545,28
546,2
547,19
548,5
549,11
550,8
551,7
552,31
553,7
554,5
555,7
556,6
557,4
558,1
559,10
560,48
561,9
562,56
563,18
564,22
565,3
566,62
567,60
568,2
569,1
570,11
571,6
572,21
573,2
574,11
575,31
576,22
577,35
578,4
579,9
580,5
581,12
582,15
583,12
584,4
585,2
586,15
587,14
588,9
589,4
590,31
591,7
592,38
593,13
594,29
595,25
596,25
597,9
598,14
599,11
600,103
601,3
602,15
603,30
604,1
605,2
606,4
607,45
608,25
609,14
610,2
611,15
612,25
613,9
614,3
615,30
616,7
617,11
618,74
619,2
620,9
621,3
622,3
623,41
624,5
625,5
626,12
627,14
628,19
629,1
630,36
631,10
632,12
633,4
634,39
635,5
636,7
637,6
638,2
639,8
640,1
641,9
642,10
643,7
644,11
645,11
646,10
647,3
648,18
649,9
650,41
651,47
652,18
653,1
654,53
655,51
656,8
657,48
658,26
659,10
660,21
661,6
662,1
663,33
664,2
665,15
666,7
667,8
668,3
669,21
670,16
671,17
672,35
673,3
674,45
675,8
676,16
677,9
678,21
679,27
680,28
681,6
682,15
683,2
684,1
685,16
686,2
687,30
688,1
689,11
690,45
691,16
692,6
693,19
694,67
695,28
696,12
697,4
698,20
699,9
700,1
701,10
702,22
703,10
704,21
705,1
706,8
707,12
708,32
709,54
710,8
711,3
712,3
713,9
714,14
715,27
716,32
717,24
718,21
719,14
720,4
721,15
722,10
723,43
724,9
725,8
726,70
727,9
728,3
729,4
730,9
731,2
732,43
733,17
734,3
735,96
736,12
737,11
738,7
739,1
740,13
741,8
742,7
743,2
744,1
745,3
746,3
747,2
748,59
749,45
750,18
751,4
752,5
753,10
754,2
755,33
756,51
757,33
758,6
759,22
760,36
761,12
762,98
763,5
764,6
765,10
766,53
767,22
768,16
769,10
770,39
771,34
772,2
773,30
774,29
775,4
776,4
777,10
778,12
779,7
780,12
781,4
782,22
783,29
784,11
785,2
786,44
787,2
788,25
789,10
790,10
791,40
792,16
793,7
794,13
795,2
796,13
797,2
798,10
799,9
800,2
801,12
802,22
803,14
804,48
805,15
806,9
807,13
808,13
809,6
810,4
811,1
812,3
813,18
814,4
815,3
816,1
817,45
818,16
819,32
820,10
821,86
822,2
823,18
824,28
825,13
826,28
827,1
828,23
829,54
830,1
831,54
832,5
833,1
834,7
835,153
836,190
837,14
838,11
839,10
840,14
841,27
842,1
843,3
844,7
845,18
846,6
847,13
848,6
849,3
850,1
851,133
852,26
853,7
854,16
855,4
856,17
857,7
858,8
859,3
860,37
861,2
862,8
863,61
864,5
865,3
866,7
867,5
868,9
869,16
870,19
871,6
872,151
873,2
874,5
875,3
876,6
877,7
878,33
879,8
880,5
881,10
882,6
883,4
884,9
885,3
886,17
887,12
888,16
889,6
890,19
891,35
892,2
893,6
894,3
895,1
896,2
897,101
898,2
899,2
900,4
901,3
902,59
903,9
904,44
905,21
906,26
907,40
908,79
909,9
910,9
911,8
912,10
913,7
914,7
915,4
916,17
917,2
918,16
919,49
920,8
921,3
922,49
923,26
924,5
925,9
926,8
927,66
928,4
929,25
930,12
931,27
932,31
933,6
934,10
935,8
936,84
937,9
938,23
939,41
940,36
941,7
942,23
943,43
944,37
945,1
946,17
947,4
948,7
949,9
950,5
